scheme_code,scheme_name,category,fund_start_date,fund_age_years,return_3m_pct,return_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,fund_house
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Equity - Banking,04/01/21,4.99,1.36,7.64,0.52,-7.32,-1.36,Aditya Birla Sun Life MF
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Equity - Banking,04/01/21,4.99,-0.02,1.41,0.87,0.23,-3.05,Aditya Birla Sun Life MF
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Equity - Banking,04/01/21,4.99,-0.01,1.46,-2.03,-1.61,-1.66,Aditya Birla Sun Life MF
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Equity - Banking,04/01/21,4.99,1.27,7.27,-1.7,-1.68,-1.12,Aditya Birla Sun Life MF
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Equity - Banking,04/01/21,4.99,-0.14,1,0.5,-0.13,-3.23,Aditya Birla Sun Life MF
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,Equity - Banking,04/01/21,4.99,-0.1,0.98,-1.85,-1.64,-1.75,Aditya Birla Sun Life MF
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,Equity - Banking,04/01/21,4.99,0.35,2.02,0.82,0.06,-3.18,Aditya Birla Sun Life MF
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,Equity - Banking,04/01/21,4.99,-0.08,1.06,-2.3,-1.91,-1.75,Aditya Birla Sun Life MF
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Equity - Banking,04/01/21,4.99,1.27,7.28,7.33,5.81,-0.14,Aditya Birla Sun Life MF
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,Equity - Banking,04/01/21,4.99,1.27,7.28,7.33,5.82,-0.14,Aditya Birla Sun Life MF
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Equity - Banking,04/01/21,4.99,1.36,7.64,7.69,6.18,0.12,Aditya Birla Sun Life MF
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,Equity - Banking,,,,,,,,Axis MF
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Equity - Banking,04/01/21,4.99,-0.02,-0.02,-0.01,0,-17.04,Axis MF
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Equity - Banking,04/01/21,4.99,1.4,7.84,7.49,6.02,0.01,Axis MF
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,Equity - Banking,04/01/21,4.99,-0.06,-0.08,-0.02,-0.04,-14.77,Axis MF
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,Equity - Banking,04/01/21,4.99,-0.05,-0.02,-0.03,0,-11.2,Axis MF
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,Equity - Banking,,,,,,,,Axis MF
